name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Slavko Vincic,Slovenia,45,40,0,0,1,10
Istvan Kovacs,Romania,41,25,1,1,1,8
Davide Massa,Italy,44,18,1,1,1,8
Michael Oliver,England,40,39,2,0,2,8
José María Sánchez Martínez,Spain,42,21,1,0,2,7
Maurizio Mariani,Italy,43,26,1,0,5,7
François Letexier,France,36,32,1,2,5,7
Felix Zwayer,Germany,44,37,1,3,3,7
Irfan Peljto,Bosnia-Herzegovina,41,17,1,1,5,7
Szymon Marciniak,Poland,44,28,1,1,3,7
Clément Turpin,France,43,11,0,0,2,7
Espen Eskås,Norway,37,22,1,0,2,7
Benoît Bastien,France,42,20,0,0,2,6
Glenn Nyberg,Sweden,37,15,0,0,1,5
Halil Umut Meler,Türkiye,39,17,0,0,2,5
João Pinheiro,Portugal,37,15,0,0,1,5
Danny Makkelie,Netherlands,42,18,0,2,4,5
Sandro Schärer,Switzerland,37,20,0,0,2,5
Daniel Siebert,Germany,41,16,0,1,2,5
Tobias Stieler,Germany,44,22,0,1,3,5
Manfredas Lukjančukas,Lithuania,33,8,0,0,1,4
Georgi Kabakov,Bulgaria,39,15,0,0,0,4
Anthony Taylor,England,46,19,0,0,0,4
Jesús Gil Manzano,Spain,41,15,0,0,1,4
Rade Obrenovic,Slovenia,35,19,1,0,0,4
Radu Petrescu,Romania,42,17,0,0,1,3
Erik Lambrechts,Belgium,41,8,0,0,0,3
Mykola Balakin,Ukraine,36,7,0,0,1,3
Ivan Kruzliak,Slovakia,41,16,0,0,2,3
Donatas Rumšas,Lithuania,37,10,1,1,0,3
Rohit Saggi,Norway,33,13,0,1,2,3
Marco Guida,Italy,44,10,0,0,1,2
Alejandro Hernández Hernández,Spain,42,4,0,0,0,2
Serdar Gözübüyük,Netherlands,39,13,0,0,3,2
Urs Schnyder,Switzerland,39,13,0,1,2,2
Giorgi Kruashvili,Georgia,39,7,0,0,0,2
Aliyar Agayev,Azerbaijan,37,11,0,0,0,2
Juan Martínez Munuera,Spain,43,1,0,0,3,1
Nikola Dabanovic,Montenegro,43,6,0,0,0,1
Orel Grinfeld,Israel,44,4,0,0,0,1
Harm Osmers,Germany,40,7,0,0,1,1
Nick Walsh,Scotland,34,8,1,0,0,1
Chris Kavanagh,England,40,6,0,0,0,1
Allard Lindhout,Netherlands,38,7,0,1,0,1
Horațiu Feșnic,Romania,35,4,0,0,0,1
