name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Alejandro Hernández Hernández,Spain,42,14,2,0,2,5
Aleksey Kulbakov,Belarus,45,9,1,0,2,1
Aliyar Agayev,Azerbaijan,37,19,0,0,1,4
Allard Lindhout,Netherlands,38,7,0,1,0,1
Anastasios Sidiropoulos,Greece,46,8,0,1,1,2
Andreas Ekberg,Sweden,40,14,0,0,2,3
Andris Treimanis,Latvia,40,13,1,1,4,3
Anthony Taylor,England,46,78,2,0,3,18
António Nobre,Portugal,36,4,0,0,0,1
Artur Soares Dias,Portugal,46,28,0,2,4,9
Bartosz Frankowski,Poland,39,15,1,0,0,4
Benoît Bastien,France,42,41,0,1,3,12
Carlos del Cerro Grande,Spain,49,31,1,1,4,7
Chris Kavanagh,England,40,6,0,0,0,1
Clément Turpin,France,43,78,2,4,11,25
Cüneyt Çakır,Türkiye,48,10,1,0,1,2
Daniel Siebert,Germany,41,64,2,3,4,14
Daniele Orsato,Italy,49,89,2,0,5,19
Danny Makkelie,Netherlands,42,94,3,3,5,22
Davide Massa,Italy,44,60,2,3,7,19
Deniz Aytekin,Germany,47,5,0,0,0,2
Donatas Rumšas,Lithuania,37,23,1,2,3,7
Dr. Felix Brych,Germany,50,16,0,1,0,5
Enea Jorgji,Albania,41,7,0,0,0,1
Erik Lambrechts,Belgium,41,11,1,0,1,4
Espen Eskås,Norway,37,31,1,0,2,11
Felix Zwayer,Germany,44,99,2,3,9,18
François Letexier,France,36,71,2,6,10,19
Georgi Kabakov,Bulgaria,39,30,2,0,1,6
Giorgi Kruashvili,Georgia,39,7,0,0,0,2
Glenn Nyberg,Sweden,37,30,0,0,4,12
Halil Umut Meler,Türkiye,39,55,0,1,7,14
Harm Osmers,Germany,40,7,0,0,1,1
Horațiu Feșnic,Romania,35,4,0,0,0,1
Irfan Peljto,Bosnia-Herzegovina,41,46,2,2,7,15
Istvan Kovacs,Romania,41,106,2,2,10,24
Ivan Kruzliak,Slovakia,41,40,1,1,2,9
Jesús Gil Manzano,Spain,41,67,0,0,4,17
José María Sánchez Martínez,Spain,42,47,1,0,2,14
João Pinheiro,Portugal,37,24,0,0,1,7
Juan Martínez Munuera,Spain,43,1,0,0,3,1
Lawrence Visser,Belgium,35,10,0,0,1,2
Manfredas Lukjančukas,Lithuania,33,13,0,0,1,5
Marco Guida,Italy,44,34,0,0,4,9
Mateu Lahoz,Spain,48,23,2,0,2,6
Maurizio Mariani,Italy,43,45,1,1,6,11
Michael Oliver,England,40,91,3,1,7,21
Morten Krogh,Denmark,37,2,0,0,1,1
Mykola Balakin,Ukraine,36,9,0,0,1,4
Nick Walsh,Scotland,34,8,1,0,0,1
Nikola Dabanovic,Montenegro,43,7,0,0,0,2
Orel Grinfeld,Israel,44,15,0,0,0,5
Ovidiu Hațegan,Romania,45,31,0,1,0,6
Rade Obrenovic,Slovenia,35,29,1,0,1,6
Radu Petrescu,Romania,42,29,0,0,2,6
Rohit Saggi,Norway,33,13,0,1,2,3
Sandro Schärer,Switzerland,37,53,0,2,2,14
Serdar Gözübüyük,Netherlands,39,53,1,0,5,12
Sergey Karasev,Russia,46,9,1,0,1,4
Slavko Vincic,Slovenia,45,118,1,1,4,29
Srdjan Jovanovic,Serbia,39,39,1,0,2,11
Stéphanie Frappart,France,41,5,0,0,3,2
Szymon Marciniak,Poland,44,113,3,1,12,28
Tobias Stieler,Germany,44,49,0,1,4,11
Urs Schnyder,Switzerland,39,13,0,1,2,2
Willie Collum,Scotland,46,9,0,0,1,1
