name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Benoît Bastien,France,42,13,0,0,1,3
Nick Walsh,Scotland,34,11,0,1,0,3
Luís Godinho,Portugal,39,18,0,0,2,3
Rade Obrenovic,Slovenia,35,16,0,0,2,3
Allard Lindhout,Netherlands,38,10,0,0,1,2
Willy Delajod,France,33,8,0,1,1,2
Sebastian Gishamer,Austria,37,9,0,0,1,2
Manfredas Lukjančukas,Lithuania,33,8,1,0,0,2
István Vad,Hungary,50,5,0,0,1,2
Juxhin Xhaja,Albania,35,9,0,0,2,2
Ali Palabıyık,Türkiye,44,7,0,0,1,2
Willie Collum,Scotland,46,13,0,0,1,2
Georgi Kabakov,Bulgaria,39,7,0,1,0,2
Horațiu Feșnic,Romania,35,9,1,0,0,2
Iwan Griffith,Wales,37,12,0,1,0,2
Julian Weinberger,Austria,40,10,1,0,0,2
Rohit Saggi,Norway,33,6,0,0,1,2
Morten Krogh,Denmark,37,13,0,0,0,2
Dario Bel,Croatia,37,9,0,0,0,2
Fran Jovic,Croatia,41,11,1,0,1,2
Urs Schnyder,Switzerland,39,10,0,0,0,2
Manuel Schüttengruber,Austria,42,10,0,0,1,2
Duje Strukan,Croatia,41,14,0,1,0,2
Nikola Dabanovic,Montenegro,43,8,0,1,0,2
Daniel Siebert,Germany,41,13,1,0,0,2
Carlos del Cerro Grande,Spain,49,10,0,1,1,2
Jakob Kehlet,Denmark,45,7,0,0,0,2
Glenn Nyberg,Sweden,37,5,0,0,1,2
Guillermo Cuadra Fernández,Spain,41,2,1,0,0,1
Goga Kikacheishvili,Georgia,34,7,0,0,0,1
Philip Farrugia,Malta,37,2,0,0,0,1
Ivan Bebek,Croatia,48,6,0,0,1,1
Pavel Orel,Czech Republic,37,5,0,0,0,1
Krzysztof Jakubik,Poland,42,3,0,0,0,1
Erik Lambrechts,Belgium,41,2,0,1,0,1
Bram Van Driessche,Belgium,40,3,0,1,0,1
Radu Petrescu,Romania,42,5,1,0,0,1
Aleksandar Stavrev,North Macedonia,48,9,0,0,1,1
Mads-Kristoffer Kristoffersen,Denmark,42,4,0,0,0,1
Joni Hyytiä,Finland,37,4,0,0,1,1
Sascha Stegemann,Germany,40,3,0,0,0,1
Novak Simovic,Serbia,43,5,0,0,0,1
Fábio Veríssimo,Portugal,42,3,0,0,1,1
Daniele Chiffi,Italy,40,4,0,1,0,1
Mykola Balakin,Ukraine,36,3,0,0,1,1
Jochem Kamphuis,Netherlands,39,2,0,0,0,1
Elchin Masiyev,Azerbaijan,34,2,0,0,0,1
Ruddy Buquet,France,48,3,0,0,1,1
Darren England,England,39,6,0,0,0,1
Nathan Verboomen,Belgium,37,1,0,0,0,1
Tamás Bognár,Hungary,46,4,0,0,0,1
Peter Kjærsgaard,Denmark,41,7,0,0,1,1
Roi Reinshreiber,Israel,45,8,0,0,0,1
Andrew Madley,England,42,2,0,0,0,1
Pawel Raczkowski,Poland,42,7,0,0,1,1
De Burgos Bengoetxea,Spain,39,1,0,0,0,1
César Soto Grado,Spain,45,2,0,0,0,1
Yevgen Aranovskyi,Ukraine,49,4,0,0,1,1
Robert Harvey,Ireland,37,6,0,1,0,1
Giorgi Kruashvili,Georgia,39,9,0,0,2,1
Anastasios Papapetrou,Greece,40,2,0,0,0,1
Ádám Farkas,Hungary,43,5,0,0,0,1
Don Robertson,Scotland,38,4,0,0,0,1
Dumitru Muntean,Moldova,40,5,0,0,0,1
Marian Barbu,Romania,37,6,0,0,0,1
Yigal Frid,Israel,33,1,0,0,0,1
António Nobre,Portugal,36,2,0,1,0,1
Visar Kastrati,Kosovo,38,3,0,0,0,1
Aleksey Kulbakov,Belarus,45,3,0,0,0,1
Petri Viljanen,Finland,38,5,0,0,0,1
Milos Milanovic,Serbia,32,6,0,0,0,1
Ívar Orri Kristjánsson,Iceland,36,3,0,0,0,1
Gergő Bogár,Hungary,34,6,1,0,1,1
Fabio Maresca,Italy,44,6,0,0,0,1
Daniel Schlager,Germany,35,6,0,0,0,1
José Luis Munuera Montero,Spain,42,6,0,0,0,1
Juan Martínez Munuera,Spain,43,4,0,0,1,1
Sergiy Boyko,Ukraine,48,5,0,0,2,1
Rauf Cabarov,Azerbaijan,40,3,0,0,0,1
John Beaton,Scotland,43,3,0,0,0,1
Gal Leibovich,Israel,39,5,0,0,0,1
Kevin Clancy,Scotland,41,7,1,0,0,1
Harm Osmers,Germany,40,4,0,1,0,1
Mateu Lahoz,Spain,48,5,0,0,0,1
Felix Zwayer,Germany,44,5,1,0,0,1
Andris Treimanis,Latvia,40,6,0,0,0,1
Andreas Ekberg,Sweden,40,3,0,0,1,1
Mohammed Al-Hakim,Sweden,40,5,0,0,0,1
Donatas Rumšas,Lithuania,37,1,0,0,0,1
Craig Pawson,England,46,6,0,1,0,1
Harald Lechner,Austria,43,2,0,0,0,1
Matej Jug,Slovenia,45,3,0,0,0,1
Lawrence Visser,Belgium,35,0,0,0,0,1
Marco Di Bello,Italy,44,6,0,0,0,1
Stéphanie Frappart,France,41,4,0,0,0,1
Aliyar Agayev,Azerbaijan,37,6,0,0,0,1
Kristo Tohver,Estonia,44,3,0,0,0,1
Enea Jorgji,Albania,41,7,0,1,0,1
Bartosz Frankowski,Poland,39,1,0,0,0,1
Espen Eskås,Norway,37,2,0,0,0,1
Irfan Peljto,Bosnia-Herzegovina,41,1,0,0,0,1
Anastasios Sidiropoulos,Greece,46,5,0,0,0,1
Orel Grinfeld,Israel,44,1,0,0,1,1
Serdar Gözübüyük,Netherlands,39,8,0,0,0,1
Davide Massa,Italy,44,7,0,0,1,1
François Letexier,France,36,3,0,0,0,1
Halil Umut Meler,Türkiye,39,4,0,0,1,1
José María Sánchez Martínez,Spain,42,7,0,0,0,1
Ivan Kruzliak,Slovakia,41,2,0,0,0,1
