name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Abdulkadir Bitigen,Türkiye,41,6,0,0,1,1
Adam Ladebäck,Sweden,33,11,0,1,1,3
Alain Durieux,Luxembourg,40,5,0,0,0,1
Alejandro Hernández Hernández,Spain,42,2,0,0,1,1
Aleksandar Stavrev,North Macedonia,48,20,0,1,1,4
Aleksandrs Anufrijevs,Latvia,41,4,0,0,0,1
Aleksey Kulbakov,Belarus,45,15,0,0,0,3
Ali Palabıyık,Türkiye,44,9,0,0,1,3
Aliyar Agayev,Azerbaijan,37,21,0,0,1,4
Allard Lindhout,Netherlands,38,31,0,0,2,6
Anastasios Papapetrou,Greece,40,17,0,0,1,4
Anastasios Sidiropoulos,Greece,46,45,3,1,3,7
Andrea Colombo,Italy,35,3,0,0,1,1
Andreas Ekberg,Sweden,40,8,0,0,1,2
Andrei Chivulete,Romania,38,5,0,0,0,1
Andrew Madley,England,42,2,0,0,0,1
Andris Treimanis,Latvia,40,25,0,2,1,5
Anthony Taylor,England,46,11,0,2,1,3
Antoni Bandic,Bosnia-Herzegovina,35,1,0,0,0,1
António Nobre,Portugal,36,27,3,3,5,7
Arda Kardeşler,Türkiye,37,5,0,1,1,2
Artur Soares Dias,Portugal,46,17,0,0,1,2
Ashot Ghaltakhchyan,Armenia,33,4,0,0,1,1
Atilla Karaoğlan,Türkiye,39,14,0,0,1,3
Balázs Berke,Hungary,41,9,0,0,1,3
Bartosz Frankowski,Poland,39,17,0,0,0,4
Benoît Bastien,France,42,15,0,0,1,4
Bobby Madden,Scotland,46,4,0,0,1,2
Bram Van Driessche,Belgium,40,8,0,1,0,2
Bulat Sariev,Kazakhstan,34,4,0,0,0,1
Carlos del Cerro Grande,Spain,49,14,0,1,1,3
Chris Kavanagh,England,40,5,0,0,0,2
Christian-Petru Ciochirca,Austria,36,7,0,0,1,2
Chrysovalantis Theouli,Cyprus,36,6,0,1,2,3
Clément Turpin,France,43,10,0,0,1,3
Craig Pawson,England,46,25,1,1,1,5
César Soto Grado,Spain,0,2,0,0,0,1
Damian Sylwestrzak,Poland,33,19,1,1,0,4
Daniel Schlager,Germany,35,18,0,1,0,4
Daniel Siebert,Germany,41,23,1,0,1,4
Daniel Stefanski,Poland,48,7,1,1,0,3
Daniele Chiffi,Italy,40,12,0,1,0,3
Daniyar Sakhi,Kazakhstan,34,3,0,0,0,1
Danny Makkelie,Netherlands,42,2,0,0,0,1
Dario Bel,Croatia,37,20,0,1,0,4
Darren England,England,39,6,0,0,0,1
David Dickinson,Scotland,45,10,0,1,0,2
David Fucsman,Israel,34,2,1,0,0,1
David Smajc,Slovenia,36,13,0,0,0,3
Davide Massa,Italy,44,7,0,0,1,3
De Burgos Bengoetxea,Spain,39,9,0,0,2,3
Deniz Aytekin,Germany,47,2,0,1,0,1
Dennis Higler,Netherlands,40,4,0,0,0,2
Don Robertson,Scotland,38,14,0,0,0,4
Donatas Rumšas,Lithuania,37,17,2,0,0,4
Duje Strukan,Croatia,41,17,0,1,0,3
Dumitru Muntean,Moldova,40,10,0,0,0,2
Elchin Masiyev,Azerbaijan,34,14,0,0,0,4
Enea Jorgji,Albania,41,36,2,2,2,6
Erik Lambrechts,Belgium,41,16,0,2,0,4
Espen Eskås,Norway,37,28,0,0,1,6
Fabio Maresca,Italy,44,11,0,0,0,2
Felix Zwayer,Germany,44,17,1,0,2,3
Filip Glova,Slovakia,37,16,0,0,1,4
Fran Jovic,Croatia,41,13,1,0,1,3
François Letexier,France,36,10,0,0,0,2
Fábio Veríssimo,Portugal,42,8,1,0,1,2
Gal Leibovich,Israel,39,5,0,0,0,1
Genc Nuza,Kosovo,36,28,0,0,2,5
Georgi Kabakov,Bulgaria,39,21,1,1,0,4
Gergő Bogár,Hungary,34,21,1,0,1,5
Giorgi Kruashvili,Georgia,39,20,0,0,4,5
Glenn Nyberg,Sweden,37,27,1,0,1,6
Goga Kikacheishvili,Georgia,34,19,1,0,1,3
Guillermo Cuadra Fernández,Spain,41,16,1,0,1,3
Gustavo Correia,Portugal,33,16,0,1,0,2
Halil Umut Meler,Türkiye,39,22,1,0,2,3
Halis Özkahya,Türkiye,45,6,0,0,0,2
Harald Lechner,Austria,43,4,0,1,0,3
Harm Osmers,Germany,40,29,0,1,1,6
Helgi Mikael Jónasson,Iceland,31,3,0,0,0,1
Henrik Nalbandyan,Armenia,30,5,0,1,1,1
Horațiu Feșnic,Romania,35,19,1,1,0,6
Igor Pajac,Croatia,40,12,0,0,0,2
Irfan Peljto,Bosnia-Herzegovina,41,14,0,0,1,5
Ishmael Barbara,Malta,0,2,0,0,0,1
Istvan Kovacs,Romania,41,7,0,0,1,2
István Vad,Hungary,50,17,0,0,1,5
Ivan Bebek,Croatia,48,6,0,0,1,1
Ivan Kruzliak,Slovakia,41,21,0,0,0,4
Iwan Griffith,Wales,37,12,0,1,0,2
Jakob Kehlet,Denmark,45,12,0,0,0,3
Jakob Sundberg,Denmark,36,7,0,1,0,1
Jan Petrik,Czech Republic,33,3,0,0,0,1
Jasper Vergoote,Belgium,33,2,0,0,0,1
Javier Alberola Rojas,Spain,0,5,0,0,0,1
Jens Maae,Denmark,43,2,0,0,0,1
Jesús Gil Manzano,Spain,41,7,0,1,0,2
Jochem Kamphuis,Netherlands,39,2,0,0,0,1
Joey Kooij,Netherlands,33,23,0,0,2,3
John Beaton,Scotland,43,32,2,0,2,6
Joni Hyytiä,Finland,37,4,0,0,1,1
José Luis Munuera Montero,Spain,42,6,0,0,0,1
José María Sánchez Martínez,Spain,42,8,0,0,0,2
João Pinheiro,Portugal,37,13,0,0,1,4
Juan Martínez Munuera,Spain,43,12,1,0,1,2
Julian Weinberger,Austria,40,23,1,0,1,5
Juri Frischer,Estonia,41,2,0,0,1,2
Juxhin Xhaja,Albania,35,21,0,0,4,5
Jérémie Pignard,France,38,10,1,0,0,3
Jérôme Brisard,France,39,8,0,0,1,2
Kai Erik Steen,Norway,40,11,0,0,0,1
Kaspar Sjöberg,Sweden,38,3,0,0,0,1
Kateryna Monzul,Ukraine,44,1,0,0,1,1
Kevin Clancy,Scotland,41,16,2,0,1,2
Kirill Levnikov,Russia,41,5,0,0,0,1
Kristo Tohver,Estonia,44,13,0,0,0,3
Kristoffer Hagenes,Norway,35,1,0,0,0,1
Kristoffer Karlsson,Sweden,0,4,0,0,0,1
