name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Nikola Dabanovic,Montenegro,43,11,0,0,0,4
François Letexier,France,36,18,0,0,1,4
Matej Jug,Slovenia,45,18,0,0,1,3
João Pinheiro,Portugal,37,10,0,0,3,3
Filip Glova,Slovakia,37,10,0,0,0,3
Morten Krogh,Denmark,37,7,1,0,2,3
Rohit Saggi,Norway,33,15,1,0,1,3
Benoît Bastien,France,42,7,1,1,1,3
Craig Pawson,England,46,20,0,0,1,3
José María Sánchez Martínez,Spain,42,20,0,0,1,3
Jérôme Brisard,France,39,9,0,0,1,3
Horațiu Feșnic,Romania,35,14,0,0,1,3
Alejandro Hernández Hernández,Spain,42,15,1,1,1,3
Georgi Kabakov,Bulgaria,39,24,1,0,1,3
Nick Walsh,Scotland,34,15,0,0,0,3
Ivan Kruzliak,Slovakia,41,6,0,0,2,3
Andris Treimanis,Latvia,40,14,1,0,0,2
Allard Lindhout,Netherlands,38,9,0,0,1,2
Mohammed Al-Hakim,Sweden,40,4,0,0,1,2
Aliyar Agayev,Azerbaijan,37,8,0,0,1,2
Maurizio Mariani,Italy,43,7,1,0,0,2
Simone Sozza,Italy,38,9,0,1,3,2
Mykola Balakin,Ukraine,36,13,0,0,2,2
Daniel Stefanski,Poland,48,12,0,1,2,2
Bartosz Frankowski,Poland,39,6,0,0,0,2
Glenn Nyberg,Sweden,37,9,0,1,0,2
Sandro Schärer,Switzerland,37,4,1,0,1,2
Duje Strukan,Croatia,41,11,1,0,2,2
Harm Osmers,Germany,40,11,0,0,0,2
Michael Oliver,England,40,8,0,0,0,2
Willie Collum,Scotland,46,6,0,1,2,2
Enea Jorgji,Albania,41,6,0,1,2,2
Anastasios Papapetrou,Greece,40,7,0,1,0,2
Urs Schnyder,Switzerland,39,2,0,0,1,2
Rade Obrenovic,Slovenia,35,9,0,0,0,2
Atilla Karaoğlan,Türkiye,39,12,0,0,2,2
Manfredas Lukjančukas,Lithuania,33,7,2,0,1,2
Erik Lambrechts,Belgium,41,11,0,0,0,2
Jesús Gil Manzano,Spain,41,9,0,0,0,2
Anthony Taylor,England,46,9,0,2,0,2
Tobias Stieler,Germany,44,11,0,0,2,2
Daniel Siebert,Germany,41,5,0,0,0,2
Halil Umut Meler,Türkiye,39,4,0,1,0,2
Artur Soares Dias,Portugal,46,3,0,0,0,2
Istvan Kovacs,Romania,41,15,0,0,0,2
Felix Zwayer,Germany,44,14,0,0,0,2
Irfan Peljto,Bosnia-Herzegovina,41,3,0,0,0,1
Kristo Tohver,Estonia,44,12,0,0,2,1
Lawrence Visser,Belgium,35,4,0,0,0,1
Davide Massa,Italy,44,8,0,0,0,1
Srdjan Jovanovic,Serbia,39,5,0,0,0,1
Sascha Stegemann,Germany,40,5,0,0,0,1
Roi Reinshreiber,Israel,45,1,0,0,0,1
Marco Di Bello,Italy,44,5,0,0,1,1
Fabio Maresca,Italy,44,5,0,0,0,1
Orel Grinfeld,Israel,44,3,0,0,0,1
Harald Lechner,Austria,43,6,0,0,1,1
António Nobre,Portugal,36,5,0,0,0,1
Espen Eskås,Norway,37,3,0,0,0,1
Igor Pajac,Croatia,40,2,0,0,0,1
Willy Delajod,France,33,3,0,0,0,1
Christian-Petru Ciochirca,Austria,36,6,0,0,1,1
John Brooks,England,35,2,0,0,0,1
Giorgi Kruashvili,Georgia,39,7,0,0,0,1
Robert Jones,England,38,2,0,0,0,1
John Beaton,Scotland,43,6,0,0,0,1
Juxhin Xhaja,Albania,35,2,0,1,0,1
Julian Weinberger,Austria,40,1,0,0,0,1
Sebastian Gishamer,Austria,37,3,0,0,0,1
Don Robertson,Scotland,38,2,0,0,0,1
Radu Petrescu,Romania,42,5,0,0,0,1
Donatas Rumšas,Lithuania,37,7,1,0,2,1
Serdar Gözübüyük,Netherlands,39,5,1,0,1,1
Marco Guida,Italy,44,2,0,0,0,1
Clément Turpin,France,43,4,0,0,0,1
Szymon Marciniak,Poland,44,6,0,1,0,1
Danny Makkelie,Netherlands,42,7,0,0,2,1
