name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Alejandro Hernández Hernández,Spain,42,37,1,1,3,9
Aleksandar Stavrev,North Macedonia,48,27,0,1,1,6
Aleksey Kulbakov,Belarus,45,13,0,2,2,3
Ali Palabıyık,Türkiye,44,8,1,0,0,2
Aliyar Agayev,Azerbaijan,37,25,1,0,4,6
Allard Lindhout,Netherlands,38,17,0,0,2,4
Anastasios Papapetrou,Greece,40,21,0,1,0,5
Anastasios Sidiropoulos,Greece,46,31,0,3,1,8
Andreas Ekberg,Sweden,40,8,0,0,0,2
Andris Treimanis,Latvia,40,62,2,0,1,9
Anthony Taylor,England,46,36,0,5,2,8
António Nobre,Portugal,36,9,0,0,1,3
Artur Soares Dias,Portugal,46,28,1,0,4,7
Atilla Karaoğlan,Türkiye,39,12,0,0,2,2
Balázs Berke,Hungary,41,7,1,1,0,2
Bartosz Frankowski,Poland,39,13,0,0,1,4
Benoît Bastien,France,42,36,3,3,5,9
Carlos del Cerro Grande,Spain,49,11,0,0,0,3
Chris Kavanagh,England,40,34,0,1,2,5
Christian-Petru Ciochirca,Austria,36,6,0,0,1,1
Clément Turpin,France,43,31,0,1,4,8
Craig Pawson,England,46,47,2,0,3,9
Cüneyt Çakır,Türkiye,48,3,0,0,2,2
Damian Sylwestrzak,Poland,33,16,0,0,0,3
Daniel Siebert,Germany,41,32,1,1,0,7
Daniel Stefanski,Poland,48,29,0,1,3,5
Daniele Orsato,Italy,49,13,0,1,0,2
Danny Makkelie,Netherlands,42,21,1,0,3,5
Davide Massa,Italy,44,25,0,0,1,5
De Burgos Bengoetxea,Spain,39,17,1,0,3,5
Deniz Aytekin,Germany,47,13,0,0,2,3
Dennis Higler,Netherlands,40,4,0,0,0,1
Don Robertson,Scotland,38,2,0,0,0,1
Donatas Rumšas,Lithuania,37,20,1,2,2,6
Duje Strukan,Croatia,41,32,2,0,3,6
Enea Jorgji,Albania,41,20,1,1,2,6
Erik Lambrechts,Belgium,41,21,0,0,1,5
Espen Eskås,Norway,37,28,0,1,1,5
Fabio Maresca,Italy,44,10,0,1,1,2
Felix Zwayer,Germany,44,47,1,2,2,8
Filip Glova,Slovakia,37,36,0,1,0,8
Fran Jovic,Croatia,41,11,0,0,1,3
François Letexier,France,36,46,2,2,4,11
Fábio Veríssimo,Portugal,42,2,0,0,0,1
Georgi Kabakov,Bulgaria,39,53,1,0,1,8
Giorgi Kruashvili,Georgia,39,22,0,1,1,7
Glenn Nyberg,Sweden,37,26,0,1,1,7
Guillermo Cuadra Fernández,Spain,41,6,0,0,1,1
Halil Umut Meler,Türkiye,39,19,0,2,1,7
Harald Lechner,Austria,43,24,1,0,1,6
Harm Osmers,Germany,40,42,0,0,2,8
