Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
16/08/24,Le Havre,Paris SG,1,4,A,0,1,A,Mathieu Vernice,5,14,2,9,9,9,2,8,3,0,0,0
17/08/24,Brest,Marseille,1,5,A,1,3,A,Benoît Bastien,7,7,5,5,10,8,5,0,4,1,0,0
17/08/24,Reims,Lille,0,2,A,0,1,A,Jérémy Stinat,2,21,0,6,6,13,0,8,2,2,1,0
17/08/24,Monaco,St Etienne,1,0,H,1,0,H,Clément Turpin,13,7,6,4,13,14,5,4,1,1,0,0
18/08/24,Auxerre,Nice,2,1,H,1,1,D,Romain Lissorgue,16,9,7,2,11,17,3,5,0,0,0,0
18/08/24,Angers,Lens,0,1,A,0,1,A,Thomas Léonard,4,10,3,5,6,10,7,3,1,0,0,0
18/08/24,Montpellier,Strasbourg,1,1,D,0,0,D,Mathieu Vernice,7,11,5,4,20,18,6,4,4,3,0,0
18/08/24,Toulouse,Nantes,0,0,D,0,0,D,Hakim Ben El Hadj,7,6,3,2,10,8,10,5,1,3,0,0
18/08/24,Rennes,Lyon,3,0,H,2,0,H,Benoît Millot,22,16,8,2,13,12,7,7,2,1,0,0
23/08/24,Paris SG,Montpellier,6,0,H,2,0,H,Marc Bollengier,21,6,10,3,9,16,10,2,1,4,0,0
24/08/24,Lyon,Monaco,0,2,A,0,0,D,Stéphanie Frappart,2,15,1,4,10,7,0,6,0,0,0,1
24/08/24,Lille,Angers,2,0,H,1,0,H,Abdelatif Kherradji,11,5,6,2,9,17,3,2,1,2,0,0
24/08/24,St Etienne,Le Havre,0,2,A,0,0,D,Florent Batta,18,14,5,5,11,9,2,4,3,3,0,0
25/08/24,Lens,Brest,2,0,H,2,0,H,Jérémie Pignard,22,10,11,2,8,6,5,2,0,0,1,0
25/08/24,Nantes,Auxerre,2,0,H,1,0,H,Gaël Angoula,8,10,6,3,9,6,3,12,0,0,0,1
25/08/24,Nice,Toulouse,1,1,D,0,0,D,Bastien Dechepy,10,15,4,3,11,21,4,4,4,1,0,0
