Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
19/08/95,Aston Villa,Man United,3,1,H,3,0,H,A Baker,,,,,,,,,,,,
19/08/95,Blackburn,QPR,1,0,H,1,0,H,K Winter,,,,,,,,,,,,
19/08/95,Chelsea,Everton,0,0,D,0,0,D,S Lodge,,,,,,,,,,,,
19/08/95,Liverpool,Sheffield Weds,1,0,H,0,0,D,P Jones,,,,,,,,,,,,
19/08/95,Man City,Tottenham,1,1,D,0,1,A,L Stevens,,,,,,,,,,,,
19/08/95,Newcastle,Coventry,3,0,H,1,0,H,C Cooper,,,,,,,,,,,,
19/08/95,Southampton,Nott'm Forest,3,4,A,1,3,A,D Smith,,,,,,,,,,,,
19/08/95,West Ham,Leeds,1,2,A,1,0,H,N Graham,,,,,,,,,,,,
19/08/95,Wimbledon,Bolton,3,2,H,2,2,D,S Dunn,,,,,,,,,,,,
20/08/95,Arsenal,Middlesbrough,1,1,D,1,1,D,R Styles,,,,,,,,,,,,
21/08/95,Nott'm Forest,Coventry,1,1,D,1,0,H,P Walton,,,,,,,,,,,,
22/08/95,Middlesbrough,Chelsea,2,0,H,1,0,H,M Dean,,,,,,,,,,,,
22/08/95,QPR,Tottenham,1,1,D,1,1,D,S Wicks,,,,,,,,,,,,
23/08/95,Bolton,Arsenal,0,1,A,0,0,D,M Riley,,,,,,,,,,,,
23/08/95,Coventry,Man City,2,1,H,0,0,D,P Durkin,,,,,,,,,,,,
23/08/95,Everton,Aston Villa,1,1,D,0,0,D,D Elleray,,,,,,,,,,,,
23/08/95,Leeds,Southampton,0,0,D,0,0,D,G Hall,,,,,,,,,,,,
23/08/95,Man United,West Ham,2,1,H,1,0,H,R Jones,,,,,,,,,,,,
23/08/95,Sheffield Weds,Newcastle,0,2,A,0,1,A,T Riley,,,,,,,,,,,,
24/08/95,Tottenham,Liverpool,2,1,H,1,1,D,J Kelly,,,,,,,,,,,,
26/08/95,Arsenal,Sheffield Weds,1,1,D,0,0,D,A Baker,,,,,,,,,,,,
26/08/95,Aston Villa,Nott'm Forest,2,1,H,0,0,D,K Winter,,,,,,,,,,,,
26/08/95,Chelsea,Blackburn,0,1,A,0,1,A,S Lodge,,,,,,,,,,,,
26/08/95,Coventry,Middlesbrough,1,0,H,0,0,D,P Jones,,,,,,,,,,,,
26/08/95,Liverpool,Aston Villa,1,3,A,0,2,A,L Stevens,,,,,,,,,,,,
26/08/95,Man City,Wimbledon,0,0,D,0,0,D,C Cooper,,,,,,,,,,,,
26/08/95,Newcastle,Man United,2,0,H,0,0,D,D Smith,,,,,,,,,,,,
26/08/95,Southampton,QPR,1,1,D,1,1,D,N Graham,,,,,,,,,,,,
26/08/95,West Ham,Bolton,2,1,H,1,0,H,S Dunn,,,,,,,,,,,,
27/08/95,Leeds,Tottenham,0,0,D,0,0,D,R Styles,,,,,,,,,,,,
28/08/95,Blackburn,Everton,0,0,D,0,0,D,P Walton,,,,,,,,,,,,
30/08/95,Middlesbrough,Man United,0,0,D,0,0,D,M Dean,,,,,,,,,,,,
30/08/95,QPR,Bolton,1,2,A,0,1,A,S Wicks,,,,,,,,,,,,
30/08/95,Wimbledon,Southampton,2,1,H,0,1,A,M Riley,,,,,,,,,,,,
09/09/95,Aston Villa,QPR,2,0,H,1,0,H,P Durkin,,,,,,,,,,,,
09/09/95,Blackburn,Middlesbrough,1,1,D,0,1,A,D Elleray,,,,,,,,,,,,
09/09/95,Bolton,Chelsea,3,2,H,1,1,D,G Hall,,,,,,,,,,,,
09/09/95,Coventry,West Ham,0,1,A,0,1,A,R Jones,,,,,,,,,,,,
09/09/95,Everton,Man City,2,0,H,1,0,H,T Riley,,,,,,,,,,,,
09/09/95,Leeds,Arsenal,3,1,H,2,0,H,J Kelly,,,,,,,,,,,,
09/09/95,Man United,Liverpool,1,2,A,0,1,A,A Baker,,,,,,,,,,,,
09/09/95,Nott'm Forest,Wimbledon,1,1,D,0,0,D,K Winter,,,,,,,,,,,,
09/09/95,Southampton,Newcastle,1,0,H,1,0,H,S Lodge,,,,,,,,,,,,
09/09/95,Tottenham,Sheffield Weds,2,0,H,1,0,H,P Jones,,,,,,,,,,,,
16/09/95,Arsenal,West Ham,0,1,A,0,1,A,L Stevens,,,,,,,,,,,,
16/09/95,Chelsea,Southampton,3,0,H,2,0,H,C Cooper,,,,,,,,,,,,
16/09/95,Liverpool,QPR,1,0,H,1,0,H,D Smith,,,,,,,,,,,,
16/09/95,Man City,Sheffield Weds,0,2,A,0,0,D,N Graham,,,,,,,,,,,,
16/09/95,Middlesbrough,Tottenham,1,1,D,0,0,D,S Dunn,,,,,,,,,,,,
16/09/95,Newcastle,Everton,2,1,H,1,1,D,R Styles,,,,,,,,,,,,
16/09/95,Nott'm Forest,Blackburn,1,2,A,0,2,A,P Walton,,,,,,,,,,,,
16/09/95,Wimbledon,Aston Villa,0,2,A,0,1,A,M Dean,,,,,,,,,,,,
17/09/95,Bolton,Man United,0,3,A,0,0,D,S Wicks,,,,,,,,,,,,
17/09/95,Coventry,Leeds,1,0,H,0,0,D,M Riley,,,,,,,,,,,,
23/09/95,Aston Villa,Newcastle,1,1,D,1,1,D,P Durkin,,,,,,,,,,,,
23/09/95,Blackburn,Wimbledon,1,0,H,0,0,D,D Elleray,,,,,,,,,,,,
23/09/95,Chelsea,Arsenal,1,1,D,0,1,A,G Hall,,,,,,,,,,,,
23/09/95,Everton,Bolton,1,2,A,0,0,D,R Jones,,,,,,,,,,,,
23/09/95,Leeds,Man City,1,0,H,0,0,D,T Riley,,,,,,,,,,,,
23/09/95,Man United,Southampton,5,3,H,2,1,H,J Kelly,,,,,,,,,,,,
23/09/95,QPR,Coventry,1,1,D,1,1,D,A Baker,,,,,,,,,,,,
23/09/95,Sheffield Weds,Middlesbrough,0,0,D,0,0,D,K Winter,,,,,,,,,,,,
23/09/95,Tottenham,Nott'm Forest,1,2,A,1,0,H,S Lodge,,,,,,,,,,,,
23/09/95,West Ham,Liverpool,0,3,A,0,2,A,P Jones,,,,,,,,,,,,
30/09/95,Arsenal,Man United,1,0,H,0,0,D,L Stevens,,,,,,,,,,,,
30/09/95,Bolton,Sheffield Weds,1,1,D,0,1,A,C Cooper,,,,,,,,,,,,
30/09/95,Coventry,Blackburn,5,1,H,3,0,H,D Smith,,,,,,,,,,,,
30/09/95,Liverpool,Leeds,0,1,A,0,0,D,N Graham,,,,,,,,,,,,
30/09/95,Man City,Aston Villa,0,1,A,0,0,D,S Dunn,,,,,,,,,,,,
30/09/95,Middlesbrough,QPR,1,0,H,0,0,D,R Styles,,,,,,,,,,,,
30/09/95,Newcastle,Chelsea,2,0,H,1,0,H,P Walton,,,,,,,,,,,,
30/09/95,Nott'm Forest,Everton,1,0,H,0,0,D,M Dean,,,,,,,,,,,,
30/09/95,Southampton,Tottenham,2,0,H,0,0,D,S Wicks,,,,,,,,,,,,
30/09/95,Wimbledon,West Ham,4,2,H,1,1,D,M Riley,,,,,,,,,,,,
01/10/95,Everton,Liverpool,1,1,D,1,0,H,P Durkin,,,,,,,,,,,,
14/10/95,Arsenal,Southampton,4,2,H,2,0,H,D Elleray,,,,,,,,,,,,
14/10/95,Aston Villa,Chelsea,0,0,D,0,0,D,G Hall,,,,,,,,,,,,
