name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances,league
Dr. Felix Brych,Germany,50,285,17,7,25,69,Champions
Björn Kuipers,Netherlands,52,221,6,5,22,59,Champions
Kim Milton Nielsen,Denmark,65,163,3,3,10,57,Champions
Szymon Marciniak,Poland,44,224,6,2,22,56,Champions
Clément Turpin,France,43,197,2,9,28,56,Champions
Daniele Orsato,Italy,49,244,6,2,12,55,Champions
Cüneyt Çakır,Türkiye,48,221,7,3,25,54,Champions
Damir Skomina,Slovenia,49,205,3,4,10,53,Champions
Danny Makkelie,Netherlands,42,198,6,3,16,53,Champions
Wolfgang Stark,Germany,55,193,4,6,12,51,Champions
Lubos Michel,Slovakia,57,203,7,8,13,50,Champions
Dr. Markus Merk,Germany,63,195,6,11,6,49,Champions
Terje Hauge,Norway,60,169,4,3,12,47,Champions
Frank De Bleeckere,Belgium,59,166,2,2,6,47,Champions
Anders Frisk,Sweden,62,151,3,8,4,45,Champions
Viktor Kassai,Hungary,50,168,7,0,15,44,Champions
Urs Meier,Switzerland,66,168,0,6,11,42,Champions
Slavko Vincic,Slovenia,45,167,1,2,5,42,Champions
Kyros Vassaras,Greece,59,189,3,3,10,41,Champions
Nicola Rizzoli,Italy,54,162,5,1,9,41,Champions
Mateu Lahoz,Spain,48,156,4,0,13,41,Champions
Michael Oliver,England,40,185,5,2,12,41,Champions
Mejuto González,Spain,60,125,2,0,10,40,Champions
Jonas Eriksson,Sweden,51,139,2,4,10,40,Champions
Anthony Taylor,England,46,178,4,1,12,40,Champions
Pierluigi Collina,Italy,65,124,5,1,10,39,Champions
Ovidiu Hațegan,Romania,45,159,4,3,10,39,Champions
Konrad Plautz,Austria,60,106,3,1,4,38,Champions
Undiano Mallenco,Spain,52,164,6,3,6,38,Champions
Gianluca Rocchi,Italy,52,144,10,1,14,38,Champions
Felix Zwayer,Germany,44,200,6,4,18,38,Champions
Willie Collum,Scotland,46,151,5,8,11,37,Champions
