name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Radu Petrescu,Romania,42,12,0,0,0,3
Rade Obrenovic,Slovenia,35,12,0,0,0,3
Nick Walsh,Scotland,34,10,0,0,0,2
Giorgi Kruashvili,Georgia,39,5,0,0,1,2
Mykola Balakin,Ukraine,36,10,0,0,0,2
Robert Harvey,Ireland,37,6,0,0,0,2
Halis Özkahya,Türkiye,45,6,0,0,0,2
Mohammed Al-Hakim,Sweden,40,4,0,0,0,2
Erik Lambrechts,Belgium,41,11,0,1,0,2
Espen Eskås,Norway,37,10,0,0,1,2
Trustin Farrugia Cann,Malta,39,3,0,0,0,2
Glenn Nyberg,Sweden,37,6,1,0,0,2
Dennis Higler,Netherlands,40,4,0,0,0,2
Horațiu Feșnic,Romania,35,5,0,1,0,2
Filip Glova,Slovakia,37,11,0,0,0,2
Yigal Frid,Israel,33,7,0,0,1,2
Bobby Madden,Scotland,46,4,0,0,1,2
István Vad,Hungary,50,8,0,0,0,2
Harm Osmers,Germany,40,11,0,0,0,2
Manuel Schüttengruber,Austria,42,17,0,1,0,2
Chris Kavanagh,England,40,5,0,0,0,2
Orel Grinfeld,Israel,44,5,1,1,0,2
Pawel Raczkowski,Poland,42,12,1,1,0,2
Istvan Kovacs,Romania,41,7,0,0,1,2
Nikola Dabanovic,Montenegro,43,7,0,0,1,2
Maurizio Mariani,Italy,43,7,0,0,0,2
Andris Treimanis,Latvia,40,5,0,0,0,2
Craig Pawson,England,46,8,0,0,1,2
Bartosz Frankowski,Poland,39,14,0,0,0,2
Lawrence Visser,Belgium,35,12,1,1,0,2
Irfan Peljto,Bosnia-Herzegovina,41,5,0,0,1,2
Ivan Kruzliak,Slovakia,41,9,0,0,0,2
Fabio Maresca,Italy,44,5,0,0,0,1
Fábio Veríssimo,Portugal,42,5,1,0,0,1
Ádám Farkas,Hungary,43,6,0,0,0,1
Daniel Stefanski,Poland,48,3,1,1,0,1
Kai Erik Steen,Norway,40,11,0,0,0,1
Mattias Gestranius,Finland,47,10,0,1,0,1
Michal Ocenas,Slovakia,34,6,0,0,0,1
Sergiy Boyko,Ukraine,48,5,0,0,0,1
Michael Fabbri,Italy,41,4,0,0,1,1
Kirill Levnikov,Russia,41,5,0,0,0,1
Peter Kjærsgaard,Denmark,41,5,0,0,0,1
Enea Jorgji,Albania,41,4,0,1,1,1
Duje Strukan,Croatia,41,3,0,0,0,1
Julian Weinberger,Austria,40,1,0,0,0,1
Luís Godinho,Portugal,39,2,0,0,0,1
Aleksandrs Anufrijevs,Latvia,41,4,0,0,0,1
Davide Massa,Italy,44,0,0,0,0,1
Kateryna Monzul,Ukraine,44,1,0,0,1,1
João Pinheiro,Portugal,37,4,0,0,0,1
Kevin Clancy,Scotland,41,9,1,0,1,1
Stuart Attwell,England,43,3,0,0,1,1
Jens Maae,Denmark,43,2,0,0,0,1
Ali Palabıyık,Türkiye,44,2,0,0,0,1
Volen Chinkov,Bulgaria,41,2,0,0,1,1
Yevgen Aranovskyi,Ukraine,49,4,0,0,1,1
Pavel Orel,Czech Republic,37,2,0,0,2,1
Aliyar Agayev,Azerbaijan,37,4,0,0,1,1
Vilhjálmur Alvar Thórarinsson,Iceland,40,4,0,0,0,1
Stéphanie Frappart,France,41,2,0,0,2,1
Dumitru Muntean,Moldova,40,5,0,0,0,1
Petri Viljanen,Finland,38,3,0,0,0,1
Alain Durieux,Luxembourg,40,5,0,0,0,1
Kristoffer Karlsson,Sweden,0,4,0,0,0,1
Vitaliy Meshkov,Russia,42,4,0,0,0,1
Kári Jóannesarson á Hövdanum,Faroe Islands,35,4,0,0,0,1
Anastasios Papapetrou,Greece,40,5,0,0,0,1
Marco Di Bello,Italy,44,4,2,1,0,1
Juri Frischer,Estonia,41,2,0,0,0,1
Goga Kikacheishvili,Georgia,34,7,1,0,1,1
Helgi Mikael Jónasson,Iceland,31,3,0,0,0,1
António Nobre,Portugal,36,9,1,0,0,1
Morten Krogh,Denmark,37,7,1,0,1,1
Jérôme Brisard,France,39,4,0,0,0,1
Bram Van Driessche,Belgium,40,5,0,0,0,1
Urs Schnyder,Switzerland,39,7,0,0,0,1
Don Robertson,Scotland,38,3,0,0,0,1
Igor Pajac,Croatia,40,5,0,0,0,1
Gergő Bogár,Hungary,34,1,0,0,0,1
Kaspar Sjöberg,Sweden,38,3,0,0,0,1
Krzysztof Jakubik,Poland,42,3,0,0,0,1
Rohit Saggi,Norway,33,5,0,0,0,1
Fran Jovic,Croatia,41,2,0,0,0,1
Genc Nuza,Kosovo,36,7,0,0,1,1
Andreas Ekberg,Sweden,40,5,0,0,0,1
Harald Lechner,Austria,43,2,0,0,0,1
Sergey Ivanov,Russia,41,4,0,0,0,1
Georgi Kabakov,Bulgaria,39,9,1,0,0,1
Donatas Rumšas,Lithuania,37,10,1,0,0,1
Jakob Kehlet,Denmark,45,5,0,0,0,1
Artur Soares Dias,Portugal,46,10,0,0,1,1
Anastasios Sidiropoulos,Greece,46,9,0,0,0,1
Daniel Siebert,Germany,41,4,0,0,0,1
Willie Collum,Scotland,46,4,0,0,0,1
Anthony Taylor,England,46,2,0,0,0,1
Halil Umut Meler,Türkiye,39,8,0,0,0,1
Deniz Aytekin,Germany,47,2,0,1,0,1
Serdar Gözübüyük,Netherlands,39,2,0,0,0,1
Szymon Marciniak,Poland,44,5,1,0,0,1
José María Sánchez Martínez,Spain,42,1,0,0,0,1
Danny Makkelie,Netherlands,42,2,0,0,0,1
Benoît Bastien,France,42,2,0,0,0,1
Carlos del Cerro Grande,Spain,49,4,0,0,0,1
Michael Oliver,England,40,4,0,0,0,1
Srdjan Jovanovic,Serbia,39,4,0,0,0,1
Sandro Schärer,Switzerland,37,8,0,0,0,1
