name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Irfan Peljto,Bosnia-Herzegovina,41,23,1,0,1,4
José María Sánchez Martínez,Spain,42,11,1,1,1,4
Harm Osmers,Germany,40,15,0,0,1,3
Mohammed Al-Hakim,Sweden,40,13,0,0,2,3
Serdar Gözübüyük,Netherlands,39,14,1,0,2,3
Jakob Kehlet,Denmark,45,15,0,0,1,3
Matej Jug,Slovenia,45,15,0,1,1,3
Craig Pawson,England,46,15,0,0,1,3
Harald Lechner,Austria,43,11,1,0,0,3
Kristo Tohver,Estonia,44,17,2,0,0,3
Anastasios Sidiropoulos,Greece,46,14,0,0,0,3
Halil Umut Meler,Türkiye,39,8,0,1,0,3
Enea Jorgji,Albania,41,11,1,0,0,3
João Pinheiro,Portugal,37,11,0,0,0,3
François Letexier,France,36,12,0,0,1,3
Ivan Kruzliak,Slovakia,41,10,1,0,0,3
Alejandro Hernández Hernández,Spain,42,9,0,0,1,2
Erik Lambrechts,Belgium,41,9,0,0,1,2
Marco Di Bello,Italy,44,11,0,0,1,2
Georgi Kabakov,Bulgaria,39,10,0,0,0,2
Stéphanie Frappart,France,41,7,0,0,0,2
Yevgen Aranovskyi,Ukraine,49,9,0,0,0,2
Willie Collum,Scotland,46,2,0,0,0,2
Duje Strukan,Croatia,41,13,1,0,1,2
Aleksey Kulbakov,Belarus,45,11,0,2,2,2
Tamás Bognár,Hungary,46,13,0,0,0,2
Pawel Raczkowski,Poland,42,12,1,0,4,2
Giorgi Kruashvili,Georgia,39,5,0,1,1,2
Nikola Dabanovic,Montenegro,43,12,0,1,4,2
Radu Petrescu,Romania,42,6,0,1,0,2
Andris Treimanis,Latvia,40,14,0,0,0,2
Roi Reinshreiber,Israel,45,11,0,0,1,2
Sergiy Boyko,Ukraine,48,6,0,1,0,2
Aliyar Agayev,Azerbaijan,37,10,1,0,1,2
Jérôme Brisard,France,39,6,0,0,0,2
Rade Obrenovic,Slovenia,35,12,0,0,1,2
De Burgos Bengoetxea,Spain,39,9,1,0,2,2
Daniel Stefanski,Poland,48,12,0,0,0,2
Sascha Stegemann,Germany,40,14,2,0,1,2
Espen Eskås,Norway,37,8,0,0,0,2
Orel Grinfeld,Israel,44,11,0,0,1,2
Tobias Stieler,Germany,44,10,0,0,0,2
Slavko Vincic,Slovenia,45,12,0,0,0,2
Daniel Siebert,Germany,41,9,0,0,0,2
Michael Oliver,England,40,11,0,0,1,2
Artur Soares Dias,Portugal,46,4,0,0,0,2
Mateu Lahoz,Spain,48,6,1,0,0,2
Anthony Taylor,England,46,20,0,1,0,2
Ali Palabıyık,Türkiye,44,4,0,0,0,1
Donatas Rumšas,Lithuania,37,3,0,0,0,1
Chris Kavanagh,England,40,5,0,0,0,1
Novak Simovic,Serbia,43,5,0,0,0,1
John Beaton,Scotland,43,6,0,0,0,1
Tiago Martins,Portugal,45,5,0,0,0,1
Ruddy Buquet,France,48,3,0,0,0,1
Filip Glova,Slovakia,37,5,0,0,0,1
Aleksandar Stavrev,North Macedonia,48,11,0,1,1,1
Bartosz Frankowski,Poland,39,1,0,0,0,1
Fran Jovic,Croatia,41,3,0,0,0,1
Benoît Bastien,France,42,6,1,0,0,1
Glenn Nyberg,Sweden,37,4,0,0,0,1
Horațiu Feșnic,Romania,35,1,0,0,0,1
Lawrence Visser,Belgium,35,6,0,0,1,1
Fabio Maresca,Italy,44,5,0,1,1,1
Dennis Higler,Netherlands,40,4,0,0,0,1
Clément Turpin,France,43,6,0,0,1,1
Daniele Orsato,Italy,49,6,0,1,0,1
Davide Massa,Italy,44,7,0,0,0,1
Sandro Schärer,Switzerland,37,6,0,0,0,1
Srdjan Jovanovic,Serbia,39,1,0,0,0,1
Istvan Kovacs,Romania,41,6,1,0,0,1
Jesús Gil Manzano,Spain,41,2,0,0,1,1
Felix Zwayer,Germany,44,8,0,0,0,1
Danny Makkelie,Netherlands,42,6,1,0,0,1
